file	name	kind	old	new
skse64/Hooks_Scaleform.cpp	kCtorHookAddress	Addr	0x0093FEB7	0x00956627
skse64/Hooks_SaveLoad.cpp	NewGame_Enter	Addr	0x009426F9	0x00958F59
skse64/GameData.cpp	UpdatePlayerTints	Addr	0x00954AE0	0x0096BC10
skse64/ScaleformCallbacks.cpp	PlaySoundCallback	Addr	0x0097A9B0	0x00991BA0
skse64/Hooks_Gameplay.cpp	kHook_MapMenuMouseWheel_Enter	Addr	0x0097D627	0x00994957
skse64/Hooks_Gameplay.cpp	kHook_ShowVersion_Offset	Addr	0x0098F288	0x009A6788
skse64/Hooks_Scaleform.cpp	UIOpenJournalMenu	Addr	0x00995720	0x009ACD90
skse64/GameData.cpp	HasLOS	Addr	0x009BA120	0x009D1790
skse64/Hooks_Papyrus.cpp	RegisterPapyrusFunctions_Start	Addr	0x009BEB53	0x009D61C3
skse64/Hooks_Papyrus.cpp	UnregisterFromSleep_Enter	Addr	0x009C31EB	0x009DA8DB
skse64/Hooks_Papyrus.cpp	RevertGlobalData_Enter	Addr	0x009CA092	0x009E1A62
skse64/Hooks_Papyrus.cpp	RevertGlobalData_Enter2	Addr	0x009CA838	0x009E2208
skse64/Hooks_Papyrus.cpp	SaveRegsSleep_Enter	Addr	0x009CCE80	0x009E4890
skse64/Hooks_Papyrus.cpp	LoadRegsSleep_Enter	Addr	0x009CDECB	0x009E58DB
skse64/Hooks_Papyrus.cpp	kDFQueueHook_Base	Addr	0x009D0180	0x009E7B90
skse64/Hooks_Papyrus.cpp	RegisterPapyrusFunctions	Addr	0x00A19B20	0x00A32340
skse64/GameReferences.cpp	AddItem_Native	Addr	0x00A2C110	0x00A44950
skse64/GameReferences.cpp	PlaceAtMe_Native	Addr	0x00A2E330	0x00A46B80
skse64/GameReferences.cpp	MoveRefrToPosition	Addr	0x00A447F0	0x00A5D110
skse64/GameUtilities.cpp	CalculateCRC32_32	Addr	0x00CC83E0	0x00CE2310
skse64/GameUtilities.cpp	CalculateCRC32_64	Addr	0x00CC8460	0x00CE2390
skse64/NiObjects.cpp	NiAllocate	Addr	0x00CE7DD0	0x00EAC530
skse64/NiObjects.cpp	NiFree	Addr	0x00CE8070	0x00EAC7D0
skse64/NiObjects.cpp	WorldPtToScreenPt3_Internal	Addr	0x00D2C780	0x00EF0F20
skse64/NiGeometry.cpp	CreateBSTriShape	Addr	0x00D2D730	0x00EF1ED0
skse64/NiTextures.cpp	CreateSourceTexture	Addr	0x00D2F140	0x00EF38E0
skse64/NiGeometry.cpp	BSDismemberSkinInstance_Create	Addr	0x00D31970	0x00EF6140
skse64/NiGeometry.cpp	CreateBSDynamicTriShape	Addr	0x00D38A20	0x00EFD210
skse64/Hooks_NetImmerse.cpp	CreateRenderTarget	Addr	0x00E4FBB0	0x010151C0
skse64/Hooks_UI.cpp	ProcessEventQueue_HookTarget_Enter	Addr	0x00FA4A55	0x0116A575
skse64/Hooks_Scaleform.cpp	kInstallHooks_Enter	Addr	0x00FB02ED	0x0116FD1D
skse64/ScaleformAPI.cpp	InvokeFunction	Addr	0x00FBE900	0x0117A770
skse64/ScaleformAPI.cpp	GFxAllocateHeap	Addr	0x0102FBD0	0x0117E120
skse64/NiTextures.cpp	LoadTexture	Addr	0x01480030	0x014EBE40
skse64/NiMaterial.cpp	CreateShaderMaterial	Addr	0x014B7F70	0x01524110
